Car Name,Manufacturer,Launch Year,Description,Engine Specifications,Other Specifications,User Ratings,NCAP Global Rating
OffDecision12,Ross PLC,2017,"Experience the fusion of style and performance with the OffDecision12 from Ross PLC. This elegant convertible boasts high-performance engine along with next-generation navigation system. Its innovative design and reliable engineering, launched in 2017, set a new benchmark in its class.","I6, 253 HP, 1520cc","SUV, 10 km/l, 203 km/h top speed",2.5,4
ExistGround23,Ross PLC,2017,"The ExistGround23 by Ross PLC is a luxurious and agile minivan. It features intuitive user interface and remarkable fuel efficiency that deliver an exhilarating driving experience. Released in 2017, it embodies the future of automotive design.","Electric, 281 HP, 4515cc","SUV, 15 km/l, 238 km/h top speed",2.1,1
SometimesHerself24,Ross PLC,2021,"The SometimesHerself24 by Ross PLC is a efficient and robust coupe. It features unmatched reliability and unmatched reliability that deliver an exhilarating driving experience. Released in 2021, it embodies the future of automotive design.","V8, 367 HP, 2351cc","Coupe, 15 km/l, 219 km/h top speed",5,1
OffAround14,Ross PLC,2006,"The OffAround14 by Ross PLC is a elegant and vibrant limousine. It features integrated smart connectivity and exceptional handling that deliver an exhilarating driving experience. Released in 2006, it embodies the future of automotive design.","Electric, 585 HP, 1464cc","Coupe, 12 km/l, 221 km/h top speed",1.7,4
PriceIdea77,Ross PLC,2002,"Ross PLC presents the PriceIdea77, a efficient masterpiece that redefines modern mobility. With features such as next-generation navigation system and state-of-the-art infotainment system, this minivan combines efficiency with bold performance. Since its inception in 2002, it has captivated enthusiasts and experts alike.","V6, 422 HP, 1762cc","Hatchback, 6 km/l, 238 km/h top speed",2.8,2
Ross PLC,UnderstandBoy48,2001,"UnderstandBoy48 presents the Ross PLC, a cutting-edge masterpiece that redefines modern mobility. With features such as exceptional handling and exceptional handling, this coupe combines efficiency with bold performance. Since its inception in 2001, it has captivated enthusiasts and experts alike.","I6, 289 HP, 3872cc","Hatchback, 9 km/l, 176 km/h top speed",3.1,4
IndicateEarly62,Ross PLC,2021,"The IndicateEarly62 by Ross PLC is a vibrant and cutting-edge sports car. It features advanced safety features and exceptional handling that deliver an exhilarating driving experience. Released in 2021, it embodies the future of automotive design.","V8, 454 HP, 4392cc","Convertible, 8 km/l, 170 km/h top speed",2.8,3
Ross PLC,GardenShoulder78,2002,"GardenShoulder78 presents the Ross PLC, a futuristic masterpiece that redefines modern mobility. With features such as intuitive user interface and next-generation navigation system, this roadster combines efficiency with bold performance. Since its inception in 2002, it has captivated enthusiasts and experts alike.","I4, 459 HP, 4868cc","Hatchback, 10 km/l, 174 km/h top speed",2.9,4
Ross PLC,DescribeBy19,1995,"The Ross PLC by DescribeBy19 is a cutting-edge and state-of-the-art SUV. It features remarkable fuel efficiency and unmatched reliability that deliver an exhilarating driving experience. Released in 1995, it embodies the future of automotive design.","I4, 517 HP, 2528cc","Sedan, 12 km/l, 231 km/h top speed",2.1,4
Ross PLC,HomeFilm38,2008,"The Ross PLC by HomeFilm38 is a efficient and vibrant minivan. It features advanced safety features and eco-friendly technology that deliver an exhilarating driving experience. Released in 2008, it embodies the future of automotive design.","V8, 459 HP, 3863cc","SUV, 14 km/l, 155 km/h top speed",4.3,3
